ID,product_type,size,text,rating,sentiment
1,Multi-purpose ladder,12ft,great daraz kept connection receive ladder later called make sure delivery ok super packaging super product,5,1
2,Multi-purpose ladder,12ft,good qualityyou dont say anything say good loke ah hodata wada break number innings ladder,5,1
3,Multi-purpose ladder,12ft,good quality recommended,5,1
4,Multi-purpose ladder,12ft,good condition quick service,5,1
5,Multi-purpose ladder,12ft,thanks daraz product deliverd time safe packing good priduct happy satisfied strong correct weight invoice waranty card user instruction recived product details filled warranty cardits blank attched referance good practice request want increase sales done customers satisfaction give comment user friendlyness durability need little time way overall quality product,5,1
6,Multi-purpose ladder,12ft,please tell could get warranty card,5,1
7,Multi-purpose ladder,12ft,thank daraz,5,1
8,Multi-purpose ladder,12ft,innings knownheavy thoughtcame quicklyits worth goalbut responsibilities sentnever reply messagethats problem,5,-1
9,Multi-purpose ladder,12ft,looks like durable im satisfied purchase highly recommended product also seller,5,1
10,Multi-purpose ladder,12ft,item arrived well packed well built quick delivery first time using multi purpose ladder positive experience,5,1
11,Multi-purpose ladder,12ft,product highest fair value price paid sturdy ladder superior finish,5,1
12,Multi-purpose ladder,12ft,excellent build quality locks working really satisfied purchase,5,1
13,Multi-purpose ladder,12ft,good dont think twice strong win,5,1
14,Multi-purpose ladder,12ft,genuine product came time fast shipping highly recommend,5,1
15,Multi-purpose ladder,12ft,good quality product thanks sellar daraz,5,1
16,Multi-purpose ladder,12ft,product described quality good delivered within days,5,1
17,Multi-purpose ladder,12ft,recently delivered good product home use really satisfied,5,1
18,Multi-purpose ladder,12ft,recommended heavyduty,5,1
19,Multi-purpose ladder,12ft,top quality strong durable ladder value money,5,1
20,Multi-purpose ladder,12ft,good packing solid item,5,1
21,Multi-purpose ladder,12ft,good product heavier expected,5,1
22,Multi-purpose ladder,12ft,good product didnt receive invoice,5,1
23,Multi-purpose ladder,12ft,good quality speed delivery,5,1
24,Multi-purpose ladder,12ft,excellent product delivery late couriers fault,5,1
25,Multi-purpose ladder,12ft,useful,5,1
26,Multi-purpose ladder,12ft,best ladder good product,5,1
27,Multi-purpose ladder,12ft,good product,5,1
28,Multi-purpose ladder,12ft,solid product im happy purchase,5,1
29,Multi-purpose ladder,12ft,good product,5,1
30,Multi-purpose ladder,12ft,supper,5,0
31,Multi-purpose ladder,12ft,good product stands safe ground solid material joints slighly oiled seller sent quickly daraz deliveryservice needed eternities bring recommendation cant go wrong buying ladder,5,1
32,Multi-purpose ladder,12ft,product every house,5,0
33,Multi-purpose ladder,12ft,good quality ladder worth price,4,1
34,Multi-purpose ladder,12ft,super quality product usual,5,1
35,Multi-purpose ladder,12ft,good product,5,1
36,Multi-purpose ladder,12ft,good quality strong product happy daraz service,5,1
37,Multi-purpose ladder,12ft,great product wrapped well thank,5,1
38,Multi-purpose ladder,12ft,highly recommended ladder thank swisstech,5,1
39,Multi-purpose ladder,12ft,great service item delivered days,5,1
40,Multi-purpose ladder,12ft,good product recommended,5,1
41,Multi-purpose ladder,12ft,worth money,4,1
42,Multi-purpose ladder,12ft,sturdy ladder well packed delivered fast,5,1
43,Multi-purpose ladder,12ft,product okay delivery took days within greater colombo work delivery service,1,1
44,Multi-purpose ladder,12ft,handy apartments space limited bit heavy takes time getting used happy overall good quality,5,1
45,Multi-purpose ladder,12ft,excellent utility good build quality useful handy many different situations good proper fitting plank included stand used arch position even additional cost,5,1
46,Multi-purpose ladder,12ft,locks tight got hand injured well spoke swisstek send replacement technician,5,1
47,Multi-purpose ladder,12ft,excellent productit worths every rupee spenti weight aroung kg handle without blinkrecommend anyone,5,1
48,Multi-purpose ladder,12ft,really good useful item home delivery excellentreceived item within days order bad thing seller didnt gave invoiceother positive feedbackslooking forward shop,5,0
49,Multi-purpose ladder,12ft,fast delivery good packaging damages received warranty card well bit heavy strong structure,5,1
50,Multi-purpose ladder,12ft,good product seller didnt send invoice warranty card product contacted chat say product good quality need warranty card keep order date mind professional seller,3,1
51,Multi-purpose ladder,12ft,item received product according description sad thing price reduced later,5,-1
52,Multi-purpose ladder,12ft,perfect good customer service,5,1
53,Multi-purpose ladder,12ft,fast delivery havent used yet,5,0
54,Multi-purpose ladder,12ft,super customer service thank,5,1
55,Multi-purpose ladder,12ft,good product best price,5,1
56,Multi-purpose ladder,12ft,rd ladder ordered daraz perfect highly recommend seller,5,1
57,Multi-purpose ladder,12ft,good product best price,5,1
58,Multi-purpose ladder,12ft,steady strong,5,1
59,Multi-purpose ladder,12ft,excellent,5,1
60,Multi-purpose ladder,12ft,good product high build quality easy handle fast delivery,4,1
61,Multi-purpose ladder,12ft,received good packing product good worth money,5,1
62,Multi-purpose ladder,12ft,quick delivery good product mentioned warranty card filled,5,1
63,Multi-purpose ladder,12ft,quality durable product worth money delivery within days,5,1
64,Multi-purpose ladder,12ft,best efficient ladder lot options highly recommended,5,1
65,Multi-purpose ladder,12ft,quality product recomend ideal home usage thankyou daraz,5,1
66,Multi-purpose ladder,12ft,using months good product highly recommended,5,1
67,Multi-purpose ladder,12ft,highly recommendedgood quality productgood service,5,0
68,Multi-purpose ladder,12ft,thank much received soon thank much,5,1
69,Multi-purpose ladder,12ft,happy good sturdy tall yet compact storage,5,1
70,Multi-purpose ladder,12ft,ladder seems good condition arrival,4,1
71,Multi-purpose ladder,12ft,ladder seems good condition arrival,5,1
72,Multi-purpose ladder,12ft,received advertised quality product satisfied,5,1
73,Multi-purpose ladder,12ft,thank much honest service,5,1
74,Multi-purpose ladder,12ft,good product details warranty card,5,1
75,Multi-purpose ladder,12ft,quality product recommend,5,1
76,Multi-purpose ladder,12ft,thank daraz good,5,1
77,Multi-purpose ladder,12ft,good product good qulity,5,1
78,Multi-purpose ladder,12ft,good product expensive,5,1
79,Multi-purpose ladder,12ft,good quality product,5,1
80,Multi-purpose ladder,12ft,good product recommend,5,1
81,Multi-purpose ladder,12ft,super quality material,5,1
82,Multi-purpose ladder,12ft,thank good item,5,1
83,Multi-purpose ladder,12ft,good quality product,5,1
84,Multi-purpose ladder,12ft,best product thanks,4,1
85,Multi-purpose ladder,12ft,good product,5,1
86,Multi-purpose ladder,12ft,excellent product,5,1
87,Multi-purpose ladder,12ft,good product,5,1
88,Multi-purpose ladder,12ft,good described,5,1
89,Multi-purpose ladder,12ft,quality product,5,0
90,Multi-purpose ladder,12ft,good thanks,5,1
91,Multi-purpose ladder,12ft,useful,5,1
92,Multi-purpose ladder,12ft,good item,5,1
93,Multi-purpose ladder,12ft,good product,4,1
94,Multi-purpose ladder,12ft,good one,5,1
95,Multi-purpose ladder,12ft,good,5,1
97,Multi-purpose ladder,16ft,took december discount worth using heavier deal doesnt loss useful thanks,4,-1
98,Multi-purpose ladder,16ft,really high quality product delivered quickly almost everything perfect except one screws bent bent back normal shape everything good screw mishap great product,5,1
99,Multi-purpose ladder,16ft,quality product useful domestic purposes,5,1
100,Multi-purpose ladder,16ft,good feature good pratthe price drastically withdrawnit worth using easy keep levelit easy take relaxed relaxationsadhirage well awarehope use,5,1
101,Multi-purpose ladder,16ft,perfect words,5,1
102,Multi-purpose ladder,16ft,recommend ladder locks place securely stable work,5,1
103,Multi-purpose ladder,16ft,quick delivery good packing,5,1
104,Multi-purpose ladder,16ft,ladder goodthe well pulled along ground cherishedthere record warranty cardso months warranty doesnt matterbut ladder good,3,-1
105,Multi-purpose ladder,16ft,product looks grate build quality quite good con see ladder bending mechanism sure long sprig based ladder folding mechanism work,4,1
106,Multi-purpose ladder,16ft,item good length matching need relatively cheap daraz locks seems little bit dangerous better use care delivery took almost days,4,1
107,Multi-purpose ladder,16ft,nicely packed delivered earlier expected high quality product seller highly recommended,5,1
108,Multi-purpose ladder,16ft,good producteverything good,5,1
109,Multi-purpose ladder,16ft,good quality product way warranty details card,5,1
110,Multi-purpose ladder,16ft,great ladder user friendly good strength seller packed well damages,5,1
111,Multi-purpose ladder,16ft,win genuine product fast deliveryworth moneythank,5,1
112,Multi-purpose ladder,16ft,good quality recommended,5,1
113,Multi-purpose ladder,16ft,superb quality product placed well ground suitable several jobs fast shipping highly recommended,5,1
114,Multi-purpose ladder,16ft,fast delivery high quality product seller highly recommended,5,1
115,Multi-purpose ladder,16ft,good fat guy picture sure sturdiness,5,1
116,Multi-purpose ladder,16ft,best ladders ever win,5,1
117,Multi-purpose ladder,16ft,seems good product received proper accessories use bolts nut washers fix support bar ladder please guide,5,1
118,Multi-purpose ladder,16ft,high quality product timely delivered nicely packed fully recommend product seller,5,1
119,Multi-purpose ladder,16ft,high quality product,4,0
120,Multi-purpose ladder,16ft,used almost year good quality product load sedan type cars,5,1
121,Multi-purpose ladder,16ft,ladder eka shakthiya tikak aduyi samanya mattame wedak karaganna puluwan bara aduyi,3,0
122,Multi-purpose ladder,16ft,good quality productseller higher recommendthanks daraz,5,1
123,Multi-purpose ladder,16ft,nicely packed arrived time quality product sri lanka highly recommended,5,1
124,Multi-purpose ladder,16ft,highly recommend,5,1
125,Multi-purpose ladder,16ft,thank,5,1
126,Multi-purpose ladder,16ft,good product delivery perfect tnq,5,1
127,Multi-purpose ladder,16ft,really appreciate high quality sri lankan product,5,1
128,Multi-purpose ladder,16ft,product quality good received different spec,4,1
129,Multi-purpose ladder,16ft,good quality product item arrived indicated,5,1
130,Multi-purpose ladder,16ft,good product fast delivery satisfied,5,1
131,Multi-purpose ladder,16ft,satisfied,5,1
132,Multi-purpose ladder,16ft,good product,5,1
133,Multi-purpose ladder,16ft,recommended,5,1
134,Multi-purpose ladder,16ft,good product,5,1
135,Multi-purpose ladder,16ft,highquality product easy install lightweight product packed nicely,5,1
136,Multi-purpose ladder,16ft,good one,5,1
137,Multi-purpose ladder,16ft,super,5,1
138,Multi-purpose ladder,16ft,quality bad best either corroded places anyway item work item delayed,4,-1
139,Multi-purpose ladder,16ft,took almost weeks ti delivery beyond promised delivery date product looks duralble locks looks bit shakey quality product srilanka review using time,5,1
140,Multi-purpose ladder,16ft,excellent ordered received within days good packing good product thanks daraz team recommended buytks,5,1
141,Multi-purpose ladder,16ft,good product really worth,5,1
142,Multi-purpose ladder,16ft,ladder eka hodatama hodai hoda heavy ekata tynawa,5,0
143,Multi-purpose ladder,16ft,received package time however product damages hinges locks appeared repainted nickel paint one legs bottom damaged requesting information durability locks hinges,2,-1
144,Multi-purpose ladder,16ft,product good damage,5,-1
145,Multi-purpose ladder,16ft,restricted late,5,-1
146,Multi-purpose ladder,16ft,good quality light weight easy operate properly packed,5,1
147,Multi-purpose ladder,16ft,got item prior promised date,5,1
148,Multi-purpose ladder,16ft,red good condition apart little delay im satisfy item another concern paid via sampath bank months installment plan far activated checked bank waiting daraz send required documents plz follow appreciate reply,5,1
149,Multi-purpose ladder,16ft,red good condition apart little delay im satisfy item another concern paid via sampath bank months installment plan far activated checked bank waiting daraz send required documents plz follow appreciate reply,5,1
150,Multi-purpose ladder,16ft,recommend,5,1
151,Multi-purpose ladder,16ft,highly recommend,5,1
152,Multi-purpose ladder,16ft,genuine product,5,0
153,Multi-purpose ladder,16ft,good productlate delivery,4,1
154,Multi-purpose ladder,16ft,value money great product,5,1
155,Multi-purpose ladder,16ft,win,5,1
156,Multi-purpose ladder,16ft,tracking issue,5,0
157,Multi-purpose ladder,16ft,good quality useful product recommend buy,5,1
158,Multi-purpose ladder,16ft,good strong ladder,5,1
159,Multi-purpose ladder,16ft,missing bolt nuts,4,-1
160,Multi-purpose ladder,16ft,good product,5,1
161,Multi-purpose ladder,16ft,good product,4,1
162,Multi-purpose ladder,16ft,ladder convenient handle thought would still found adequate ladder,4,1
163,Multi-purpose ladder,16ft,quality ladder good easy operate less heavy swisstek known aluminium ladders,5,1
164,Multi-purpose ladder,16ft,goid quality product fast delivery ft perfect size home use others long short,5,1
165,Multi-purpose ladder,16ft,talking two weeks later took mark thousand timesso still havent made installment planproduction doesnt problems,2,1
166,Multi-purpose ladder,16ft,quality product im bit concern long locks joint last without failing lock fail climbing life danger hope safety measures prevent situation,5,1
167,Multi-purpose ladder,16ft,item described good quality month seller warranty mentioned sitebut didnt received document thathow ever quality product pricei recommended,5,1
168,Multi-purpose ladder,16ft,brand new excellent ladder worth price pretty solid shaky secure packaging fast delivery great job swisstek highly recommended thank,5,1
169,Multi-purpose ladder,16ft,received ladder days back well packed quality product recommend heavy use well,5,1
170,Multi-purpose ladder,16ft,good product working fine win,5,1
171,Multi-purpose ladder,16ft,good quality product delivery quick well locking mechanism seems solid safe,5,1
172,Multi-purpose ladder,16ft,nicely packeddeliverd earlier expectedgood producthighly recommended seller,5,1
173,Multi-purpose ladder,16ft,win daraz best product,5,1
174,Multi-purpose ladder,16ft,thanks,5,1
175,Multi-purpose ladder,16ft,received good condition recommended best quality thanks daraz,5,1
176,Multi-purpose ladder,16ft,good quality product feel better would wider another inches,5,1
177,Multi-purpose ladder,16ft,unexpectedly received goods early quality product well packed,4,1
178,Multi-purpose ladder,16ft,fast delivery ladder actually good quality also good,5,1
179,Multi-purpose ladder,16ft,product quality excellent really useful daytoday work,5,1
180,Multi-purpose ladder,16ft,good product get local hw low price,3,1
181,Multi-purpose ladder,16ft,deliver delayed received via third party courier service,5,1
182,Multi-purpose ladder,16ft,pleased product sturdy ladder,5,1
183,Multi-purpose ladder,16ft,fast delivery good product highly recommend,5,1
184,Multi-purpose ladder,16ft,good product become childrens toy,5,1
185,Multi-purpose ladder,16ft,quick deliveryvery good productmicely packed,5,1
186,Multi-purpose ladder,16ft,good item great valuable money,5,1
187,Multi-purpose ladder,16ft,quality good days arrived,5,1
188,Multi-purpose ladder,16ft,using bad useful household work,5,-1
189,Multi-purpose ladder,16ft,good one received expected date,5,1
190,Multi-purpose ladder,16ft,good one received expected date,5,1
191,Multi-purpose ladder,16ft,good product delivery fast,5,1
192,Multi-purpose ladder,16ft,quality product received time thanks,5,1
193,Multi-purpose ladder,16ft,looks sturdy value money,5,1
194,Multi-purpose ladder,16ft,superb quality packed safty,5,1
195,Multi-purpose ladder,16ft,well packaged valueble money,5,1
196,Multi-purpose ladder,16ft,good package keeo,5,1
197,Multi-purpose ladder,16ft,excellent quickly product,5,1
198,Multi-purpose ladder,16ft,good product fast delivery,5,1
199,Multi-purpose ladder,16ft,fast delivery good seller,5,1
200,Multi-purpose ladder,16ft,product quality great,5,1
201,Multi-purpose ladder,16ft,good item per described,5,1
202,Multi-purpose ladder,16ft,good qualityrecomenderd,5,1
203,Multi-purpose ladder,16ft,thnx super product,5,1
204,Multi-purpose ladder,16ft,good quality product,5,1
205,Multi-purpose ladder,16ft,good solid product,5,1
206,Multi-purpose ladder,16ft,excellent product,5,1
207,Multi-purpose ladder,16ft,thanks much,5,1
208,Multi-purpose ladder,16ft,good produc,5,1
209,Multi-purpose ladder,16ft,great product,5,1
210,Multi-purpose ladder,16ft,good product,5,1
211,Multi-purpose ladder,16ft,good product,5,1
212,Multi-purpose ladder,16ft,good,5,1
213,Multi-purpose ladder,16ft,applied emi payment sampath credit card activated,1,1
214,Multi-purpose ladder,16ft,good product,5,1
215,Multi-purpose ladder,16ft,bad service,1,-1
216,Multi-purpose ladder,16ft,sent blank warranty card without filling anything stamped mentioned date purchase anything im sure whether provie valid warranty online purchases daraz order number thats prove ladder brought,2,1
217,Multi-purpose ladder,16ft,poor everything delivery communication terrible,1,-1
218,Multi-purpose ladder,16ft,exellent damage,1,-1
219,Multi-purpose ladder,16ft,good itam,5,1
220,Multi-purpose ladder,16ft,best one,5,1
222,Multi-purpose ladder,16ft,super,5,1
223,Multi-purpose ladder,16ft,good,5,1
224,Multi-purpose ladder,16ft,good,5,1
226,Multi-purpose ladder,20ft,good product value money good job seller daraz,5,1
227,Multi-purpose ladder,20ft,delivery service poor ordered th january received th february many times called daraz jetex satisfying delivery service,3,0
228,Multi-purpose ladder,20ft,service easy suffer opsaving strong unbelieving,5,1
229,Multi-purpose ladder,20ft,long time believed able use lot,5,0
230,Multi-purpose ladder,20ft,great inningsfashion goodgood sellerthey respond quickly friendly service,5,1
231,Multi-purpose ladder,20ft,packed wellit lot delay received,4,-1
232,Multi-purpose ladder,20ft,locks levers show properly monitoring,4,0
233,Multi-purpose ladder,20ft,product excellent quality arrived perfect condition satisfied purchase,5,1
234,Multi-purpose ladder,20ft,arrived time good quality described well packed excellent delivery communication,5,1
235,Multi-purpose ladder,20ft,fast delivery delivered within days packed well delivered carefully thank seller recommend others,5,1
236,Multi-purpose ladder,20ft,discount price weight around kg low weight quality good aluminum received within days properly sealed delivered,5,1
237,Multi-purpose ladder,20ft,great reasonable price superbly safely packed delivered received less days order thank much daraz deal ladder valuable price material remarkable excellent service keep good work,5,1
238,Multi-purpose ladder,20ft,hiquality productdelivered within dayshighly recommended sellerthank,5,1
239,Multi-purpose ladder,20ft,delivery within daysits good itemwell packedno issuerecommended others,5,1
240,Multi-purpose ladder,20ft,good product value money original quality product,5,1
241,Multi-purpose ladder,20ft,received within days package well cod item fine offer prices ft x ft,5,1
242,Multi-purpose ladder,20ft,superb item well packed useful ladder love,5,1
243,Multi-purpose ladder,20ft,good product,5,1
244,Multi-purpose ladder,20ft,good manufacturer wellpacked product wellpaced negligence house productive product,5,1
245,Multi-purpose ladder,20ft,good packingvery useful quality item,5,1
246,Multi-purpose ladder,20ft,useful product great build qualityhighly recommend,5,1
247,Multi-purpose ladder,20ft,item quality described worth price,5,1
248,Multi-purpose ladder,20ft,brilliant production glad kind ladder light weightcomfortable durable thank seller,5,1
249,Multi-purpose ladder,20ft,quality product highly recommended,5,1
250,Multi-purpose ladder,20ft,jetex win,5,1
251,Multi-purpose ladder,20ft,worth money well packed delivered exact date win,5,1
252,Multi-purpose ladder,20ft,received item unexpectedly short duration seems solid described,5,1
253,Multi-purpose ladder,20ft,useful itemi bought ft strong enoughgood packingvalue money,5,1
254,Multi-purpose ladder,20ft,awesome well packed safely securedit called,5,1
255,Multi-purpose ladder,20ft,great product worth money spent good courier delivered within days,5,1
256,Multi-purpose ladder,20ft,good quality product got estimated delivery date also,5,1
257,Multi-purpose ladder,20ft,delivery delayed minor scratches negligible ladder concern even though swisstec advertised dont charge shipping fee ladders purchase daraz daraz charge rs shipping charges,5,-1
258,Multi-purpose ladder,20ft,advantage itladder good,5,1
259,Multi-purpose ladder,20ft,superb quality extremely satisfied product product exactly described highly recommend,5,1
260,Multi-purpose ladder,20ft,one year back purchased feet step ladder still im using without problem product quality good thats purchase feet ladder ladder good quality easy handle heavy thick rubber bush easily keep tile floor climb without anyones help worth price trusted seller thank daraz,5,1
261,Multi-purpose ladder,20ft,excellent product suitable home use automatic locking mechanism ladder position received product well packed without damages recommend seller,5,1
262,Multi-purpose ladder,20ft,nd ladder easy handled strong reasonable price promotions highly recommend thanks seller daraz,5,1
263,Multi-purpose ladder,20ft,highly recommendedfast deliveryworth price thanks,5,1
264,Multi-purpose ladder,20ft,recommended product useful damages fast delivery,5,1
265,Multi-purpose ladder,20ft,good less strong,5,1
266,Multi-purpose ladder,20ft,packed well,5,1
267,Multi-purpose ladder,20ft,good product nice safe packing worth price recommend every one,5,1
268,Multi-purpose ladder,20ft,ladder good conditionit would better width ladder stepping part width increased,5,1
269,Multi-purpose ladder,20ft,two sides little slow grounddont breakvery gooddone big job,5,0
270,Multi-purpose ladder,20ft,good quality ladder,5,1
271,Multi-purpose ladder,20ft,good quality product recommend,5,1
272,Multi-purpose ladder,20ft,really best product came good packing,5,1
273,Multi-purpose ladder,20ft,fully worth must house house work tall building,5,1
274,Multi-purpose ladder,20ft,satisfied product quality good well built,5,1
275,Multi-purpose ladder,20ft,excellent ladder high quality recived ladder within one day recommend seller,5,1
276,Multi-purpose ladder,20ft,lader eka godak hodai thank youdelivery eka chuttak parakku una,5,1
277,Multi-purpose ladder,20ft,best ladder,5,1
278,Multi-purpose ladder,20ft,good product,5,1
279,Multi-purpose ladder,20ft,good portable product useful durable,5,1
280,Multi-purpose ladder,20ft,good product,5,1
281,Multi-purpose ladder,20ft,good product delivery little bit slowly,5,1
282,Multi-purpose ladder,20ft,nd ladder acquired nd ladder product good delivery,5,1
283,Multi-purpose ladder,20ft,good product excellent customer service,5,1
284,Multi-purpose ladder,20ft,disappointed since delivery late package damaged might loaded carelessly bought ft one doubt could really handle kg weight cuz climb bends slightly scares us strength ft one somewhat heavy cant handle alone u dont strength,2,-1
285,Multi-purpose ladder,20ft,exellent product sturdy strongly build highly recommend product,5,1
286,Multi-purpose ladder,20ft,looks ok yet use extended fully stability satisfactory better extra struts make better stability,3,1
287,Multi-purpose ladder,20ft,good product well packed delivered,5,1
288,Multi-purpose ladder,20ft,high quality strong ladder shown thank,5,1
289,Multi-purpose ladder,20ft,superb packing package received two days committed date,5,1
290,Multi-purpose ladder,20ft,good product recommended,5,1
291,Multi-purpose ladder,20ft,good build quality worth price highly recommend product,5,1
292,Multi-purpose ladder,20ft,safely arrieved within days,5,1
293,Multi-purpose ladder,20ft,useful product great build quality highly recommend,5,1
294,Multi-purpose ladder,20ft,ladder well packed received parcel two days quality good scaafold taps little unbalance,5,1
295,Multi-purpose ladder,20ft,good fast delivery value money,5,1
296,Multi-purpose ladder,20ft,superb good quality,5,1
297,Multi-purpose ladder,20ft,quality reliable product got delivered next day,5,0
298,Multi-purpose ladder,20ft,good quality product highly satisfied,5,1
299,Multi-purpose ladder,20ft,good product fast delivery highly recommended,5,1
300,Multi-purpose ladder,20ft,value money delivery bit late,4,1
301,Multi-purpose ladder,20ft,good product,5,1
302,Multi-purpose ladder,20ft,good productlow wightthank,5,1
303,Multi-purpose ladder,20ft,good product genuine product ever price high thanks,5,1
304,Multi-purpose ladder,20ft,good fast deliver thanks,5,1
305,Multi-purpose ladder,20ft,good worth money thank,5,1
306,Multi-purpose ladder,20ft,good productwell packed,5,1
307,Multi-purpose ladder,20ft,good product highly recommend,5,1
308,Multi-purpose ladder,20ft,good quality fast delivery useful,5,1
309,Multi-purpose ladder,20ft,good produced,5,1
310,Multi-purpose ladder,20ft,valuble good product,5,1
311,Multi-purpose ladder,20ft,product good quality,5,1
312,Multi-purpose ladder,20ft,high recommend,5,1
