ID,Date,product_type,size,text,rating,sentiment
1,2024-07-26,Multi-purpose ladder,12ft,great daraz kept connection receive ladder later called make sure delivery ok super packaging super product,5,1
2,2024-04-20,Multi-purpose ladder,12ft,good qualityyou dont say anything say good loke ah hodata wada break number innings ladder,5,1
3,2025-01-15,Multi-purpose ladder,12ft,good quality recommended,5,1
4,2024-11-26,Multi-purpose ladder,12ft,good condition quick service,5,1
5,2024-06-30,Multi-purpose ladder,12ft,thanks daraz product deliverd time safe packing good priduct happy satisfied strong correct weight invoice waranty card user instruction recived product details filled warranty cardits blank attched referance good practice request want increase sales done customers satisfaction give comment user friendlyness durability need little time way overall quality product,5,1
6,2024-06-07,Multi-purpose ladder,12ft,please tell could get warranty card,5,1
7,2024-07-20,Multi-purpose ladder,12ft,thank daraz,5,1
8,2024-10-07,Multi-purpose ladder,12ft,innings knownheavy thoughtcame quicklyits worth goalbut responsibilities sentnever reply messagethats problem,5,-1
9,2024-10-27,Multi-purpose ladder,12ft,looks like durable im satisfied purchase highly recommended product also seller,5,1
10,2024-10-30,Multi-purpose ladder,12ft,item arrived well packed well built quick delivery first time using multi purpose ladder positive experience,5,1
11,2024-12-11,Multi-purpose ladder,12ft,product highest fair value price paid sturdy ladder superior finish,5,1
12,2024-08-23,Multi-purpose ladder,12ft,excellent build quality locks working really satisfied purchase,5,1
13,2024-04-16,Multi-purpose ladder,12ft,good dont think twice strong win,5,1
14,2024-12-27,Multi-purpose ladder,12ft,genuine product came time fast shipping highly recommend,5,1
15,2024-08-03,Multi-purpose ladder,12ft,good quality product thanks sellar daraz,5,1
16,2024-10-04,Multi-purpose ladder,12ft,product described quality good delivered within days,5,1
17,2024-09-17,Multi-purpose ladder,12ft,recently delivered good product home use really satisfied,5,1
18,2025-01-08,Multi-purpose ladder,12ft,recommended heavyduty,5,1
19,2024-04-23,Multi-purpose ladder,12ft,top quality strong durable ladder value money,5,1
20,2024-09-04,Multi-purpose ladder,12ft,good packing solid item,5,1
21,2024-06-29,Multi-purpose ladder,12ft,good product heavier expected,5,1
22,2024-10-18,Multi-purpose ladder,12ft,good product didnt receive invoice,5,1
23,2024-07-09,Multi-purpose ladder,12ft,good quality speed delivery,5,1
24,2024-04-24,Multi-purpose ladder,12ft,excellent product delivery late couriers fault,5,1
25,2024-06-04,Multi-purpose ladder,12ft,useful,5,1
26,2024-12-30,Multi-purpose ladder,12ft,best ladder good product,5,1
27,2024-07-07,Multi-purpose ladder,12ft,good product,5,1
28,2024-12-19,Multi-purpose ladder,12ft,solid product im happy purchase,5,1
29,2024-09-29,Multi-purpose ladder,12ft,good product,5,1
30,2024-07-29,Multi-purpose ladder,12ft,supper,5,0
31,2024-06-01,Multi-purpose ladder,12ft,good product stands safe ground solid material joints slighly oiled seller sent quickly daraz deliveryservice needed eternities bring recommendation cant go wrong buying ladder,5,1
32,2024-04-26,Multi-purpose ladder,12ft,product every house,5,0
33,2024-04-10,Multi-purpose ladder,12ft,good quality ladder worth price,4,1
34,2024-06-21,Multi-purpose ladder,12ft,super quality product usual,5,1
35,2024-07-01,Multi-purpose ladder,12ft,good product,5,1
36,2024-05-12,Multi-purpose ladder,12ft,good quality strong product happy daraz service,5,1
37,2024-09-15,Multi-purpose ladder,12ft,great product wrapped well thank,5,1
38,2024-04-26,Multi-purpose ladder,12ft,highly recommended ladder thank swisstech,5,1
39,2024-05-09,Multi-purpose ladder,12ft,great service item delivered days,5,1
40,2024-04-12,Multi-purpose ladder,12ft,good product recommended,5,1
41,2024-06-16,Multi-purpose ladder,12ft,worth money,4,1
42,2024-06-21,Multi-purpose ladder,12ft,sturdy ladder well packed delivered fast,5,1
43,2024-11-07,Multi-purpose ladder,12ft,product okay delivery took days within greater colombo work delivery service,1,1
44,2024-05-07,Multi-purpose ladder,12ft,handy apartments space limited bit heavy takes time getting used happy overall good quality,5,1
45,2024-12-30,Multi-purpose ladder,12ft,excellent utility good build quality useful handy many different situations good proper fitting plank included stand used arch position even additional cost,5,1
46,2024-10-31,Multi-purpose ladder,12ft,locks tight got hand injured well spoke swisstek send replacement technician,5,1
47,2025-01-13,Multi-purpose ladder,12ft,excellent productit worths every rupee spenti weight aroung kg handle without blinkrecommend anyone,5,1
48,2024-10-26,Multi-purpose ladder,12ft,really good useful item home delivery excellentreceived item within days order bad thing seller didnt gave invoiceother positive feedbackslooking forward shop,5,0
49,2024-05-04,Multi-purpose ladder,12ft,fast delivery good packaging damages received warranty card well bit heavy strong structure,5,1
50,2024-11-22,Multi-purpose ladder,12ft,good product seller didnt send invoice warranty card product contacted chat say product good quality need warranty card keep order date mind professional seller,3,1
51,2024-09-13,Multi-purpose ladder,12ft,item received product according description sad thing price reduced later,5,-1
52,2024-08-20,Multi-purpose ladder,12ft,perfect good customer service,5,1
53,2024-11-21,Multi-purpose ladder,12ft,fast delivery havent used yet,5,0
54,2024-10-25,Multi-purpose ladder,12ft,super customer service thank,5,1
55,2024-04-07,Multi-purpose ladder,12ft,good product best price,5,1
56,2024-11-06,Multi-purpose ladder,12ft,rd ladder ordered daraz perfect highly recommend seller,5,1
57,2024-07-24,Multi-purpose ladder,12ft,good product best price,5,1
58,2024-04-30,Multi-purpose ladder,12ft,steady strong,5,1
59,2024-07-09,Multi-purpose ladder,12ft,excellent,5,1
60,2024-08-08,Multi-purpose ladder,12ft,good product high build quality easy handle fast delivery,4,1
61,2024-04-12,Multi-purpose ladder,12ft,received good packing product good worth money,5,1
62,2024-12-31,Multi-purpose ladder,12ft,quick delivery good product mentioned warranty card filled,5,1
63,2024-08-16,Multi-purpose ladder,12ft,quality durable product worth money delivery within days,5,1
64,2024-10-10,Multi-purpose ladder,12ft,best efficient ladder lot options highly recommended,5,1
65,2024-09-09,Multi-purpose ladder,12ft,quality product recomend ideal home usage thankyou daraz,5,1
66,2024-06-21,Multi-purpose ladder,12ft,using months good product highly recommended,5,1
67,2025-01-12,Multi-purpose ladder,12ft,highly recommendedgood quality productgood service,5,0
68,2024-04-09,Multi-purpose ladder,12ft,thank much received soon thank much,5,1
69,2024-08-30,Multi-purpose ladder,12ft,happy good sturdy tall yet compact storage,5,1
70,2024-07-18,Multi-purpose ladder,12ft,ladder seems good condition arrival,4,1
71,2024-11-19,Multi-purpose ladder,12ft,ladder seems good condition arrival,5,1
72,2025-01-12,Multi-purpose ladder,12ft,received advertised quality product satisfied,5,1
73,2024-06-09,Multi-purpose ladder,12ft,thank much honest service,5,1
74,2024-06-08,Multi-purpose ladder,12ft,good product details warranty card,5,1
75,2024-05-21,Multi-purpose ladder,12ft,quality product recommend,5,1
76,2025-01-22,Multi-purpose ladder,12ft,thank daraz good,5,1
77,2024-12-29,Multi-purpose ladder,12ft,good product good qulity,5,1
78,2024-10-27,Multi-purpose ladder,12ft,good product expensive,5,1
79,2024-10-28,Multi-purpose ladder,12ft,good quality product,5,1
80,2024-04-30,Multi-purpose ladder,12ft,good product recommend,5,1
81,2024-08-26,Multi-purpose ladder,12ft,super quality material,5,1
82,2024-06-06,Multi-purpose ladder,12ft,thank good item,5,1
83,2024-12-22,Multi-purpose ladder,12ft,good quality product,5,1
84,2024-04-07,Multi-purpose ladder,12ft,best product thanks,4,1
85,2024-12-03,Multi-purpose ladder,12ft,good product,5,1
86,2024-10-14,Multi-purpose ladder,12ft,excellent product,5,1
87,2024-04-25,Multi-purpose ladder,12ft,good product,5,1
88,2024-05-12,Multi-purpose ladder,12ft,good described,5,1
89,2024-05-28,Multi-purpose ladder,12ft,quality product,5,0
90,2024-10-11,Multi-purpose ladder,12ft,good thanks,5,1
91,2025-01-01,Multi-purpose ladder,12ft,useful,5,1
92,2024-11-18,Multi-purpose ladder,12ft,good item,5,1
93,2024-12-17,Multi-purpose ladder,12ft,good product,4,1
94,2025-01-23,Multi-purpose ladder,12ft,good one,5,1
95,2025-01-02,Multi-purpose ladder,12ft,good,5,1
97,2024-05-14,Multi-purpose ladder,16ft,took december discount worth using heavier deal doesnt loss useful thanks,4,-1
98,2024-10-26,Multi-purpose ladder,16ft,really high quality product delivered quickly almost everything perfect except one screws bent bent back normal shape everything good screw mishap great product,5,1
99,2024-09-22,Multi-purpose ladder,16ft,quality product useful domestic purposes,5,1
100,2024-07-13,Multi-purpose ladder,16ft,good feature good pratthe price drastically withdrawnit worth using easy keep levelit easy take relaxed relaxationsadhirage well awarehope use,5,1
101,2024-05-26,Multi-purpose ladder,16ft,perfect words,5,1
102,2024-11-20,Multi-purpose ladder,16ft,recommend ladder locks place securely stable work,5,1
103,2024-07-13,Multi-purpose ladder,16ft,quick delivery good packing,5,1
104,2024-11-04,Multi-purpose ladder,16ft,ladder goodthe well pulled along ground cherishedthere record warranty cardso months warranty doesnt matterbut ladder good,3,-1
105,2024-06-29,Multi-purpose ladder,16ft,product looks grate build quality quite good con see ladder bending mechanism sure long sprig based ladder folding mechanism work,4,1
106,2024-07-12,Multi-purpose ladder,16ft,item good length matching need relatively cheap daraz locks seems little bit dangerous better use care delivery took almost days,4,1
107,2024-08-29,Multi-purpose ladder,16ft,nicely packed delivered earlier expected high quality product seller highly recommended,5,1
108,2024-10-12,Multi-purpose ladder,16ft,good producteverything good,5,1
109,2024-08-14,Multi-purpose ladder,16ft,good quality product way warranty details card,5,1
110,2024-07-19,Multi-purpose ladder,16ft,great ladder user friendly good strength seller packed well damages,5,1
111,2024-12-07,Multi-purpose ladder,16ft,win genuine product fast deliveryworth moneythank,5,1
112,2024-09-19,Multi-purpose ladder,16ft,good quality recommended,5,1
113,2024-11-14,Multi-purpose ladder,16ft,superb quality product placed well ground suitable several jobs fast shipping highly recommended,5,1
114,2024-11-12,Multi-purpose ladder,16ft,fast delivery high quality product seller highly recommended,5,1
115,2024-04-06,Multi-purpose ladder,16ft,good fat guy picture sure sturdiness,5,1
116,2025-01-15,Multi-purpose ladder,16ft,best ladders ever win,5,1
117,2024-05-17,Multi-purpose ladder,16ft,seems good product received proper accessories use bolts nut washers fix support bar ladder please guide,5,1
118,2025-01-29,Multi-purpose ladder,16ft,high quality product timely delivered nicely packed fully recommend product seller,5,1
119,2024-05-07,Multi-purpose ladder,16ft,high quality product,4,0
120,2024-10-01,Multi-purpose ladder,16ft,used almost year good quality product load sedan type cars,5,1
121,2024-07-27,Multi-purpose ladder,16ft,ladder eka shakthiya tikak aduyi samanya mattame wedak karaganna puluwan bara aduyi,3,0
122,2025-01-30,Multi-purpose ladder,16ft,good quality productseller higher recommendthanks daraz,5,1
123,2024-09-04,Multi-purpose ladder,16ft,nicely packed arrived time quality product sri lanka highly recommended,5,1
124,2024-12-12,Multi-purpose ladder,16ft,highly recommend,5,1
125,2024-05-17,Multi-purpose ladder,16ft,thank,5,1
126,2024-08-21,Multi-purpose ladder,16ft,good product delivery perfect tnq,5,1
127,2025-01-07,Multi-purpose ladder,16ft,really appreciate high quality sri lankan product,5,1
128,2024-04-08,Multi-purpose ladder,16ft,product quality good received different spec,4,1
129,2025-01-25,Multi-purpose ladder,16ft,good quality product item arrived indicated,5,1
130,2024-11-18,Multi-purpose ladder,16ft,good product fast delivery satisfied,5,1
131,2024-06-26,Multi-purpose ladder,16ft,satisfied,5,1
132,2024-05-19,Multi-purpose ladder,16ft,good product,5,1
133,2024-04-15,Multi-purpose ladder,16ft,recommended,5,1
134,2024-12-02,Multi-purpose ladder,16ft,good product,5,1
135,2024-12-12,Multi-purpose ladder,16ft,highquality product easy install lightweight product packed nicely,5,1
136,2025-01-12,Multi-purpose ladder,16ft,good one,5,1
137,2024-05-25,Multi-purpose ladder,16ft,super,5,1
138,2025-01-25,Multi-purpose ladder,16ft,quality bad best either corroded places anyway item work item delayed,4,-1
139,2025-01-26,Multi-purpose ladder,16ft,took almost weeks ti delivery beyond promised delivery date product looks duralble locks looks bit shakey quality product srilanka review using time,5,1
140,2024-06-20,Multi-purpose ladder,16ft,excellent ordered received within days good packing good product thanks daraz team recommended buytks,5,1
141,2024-09-25,Multi-purpose ladder,16ft,good product really worth,5,1
142,2024-12-17,Multi-purpose ladder,16ft,ladder eka hodatama hodai hoda heavy ekata tynawa,5,0
143,2024-04-06,Multi-purpose ladder,16ft,received package time however product damages hinges locks appeared repainted nickel paint one legs bottom damaged requesting information durability locks hinges,2,-1
144,2024-07-10,Multi-purpose ladder,16ft,product good damage,5,-1
145,2024-12-08,Multi-purpose ladder,16ft,restricted late,5,-1
146,2024-09-14,Multi-purpose ladder,16ft,good quality light weight easy operate properly packed,5,1
147,2024-12-10,Multi-purpose ladder,16ft,got item prior promised date,5,1
148,2024-07-31,Multi-purpose ladder,16ft,red good condition apart little delay im satisfy item another concern paid via sampath bank months installment plan far activated checked bank waiting daraz send required documents plz follow appreciate reply,5,1
149,2024-10-03,Multi-purpose ladder,16ft,red good condition apart little delay im satisfy item another concern paid via sampath bank months installment plan far activated checked bank waiting daraz send required documents plz follow appreciate reply,5,1
150,2024-09-06,Multi-purpose ladder,16ft,recommend,5,1
151,2024-06-30,Multi-purpose ladder,16ft,highly recommend,5,1
152,2024-09-17,Multi-purpose ladder,16ft,genuine product,5,0
153,2024-12-19,Multi-purpose ladder,16ft,good productlate delivery,4,1
154,2024-07-02,Multi-purpose ladder,16ft,value money great product,5,1
155,2025-01-24,Multi-purpose ladder,16ft,win,5,1
156,2024-05-27,Multi-purpose ladder,16ft,tracking issue,5,0
157,2024-10-13,Multi-purpose ladder,16ft,good quality useful product recommend buy,5,1
158,2024-08-20,Multi-purpose ladder,16ft,good strong ladder,5,1
159,2024-12-10,Multi-purpose ladder,16ft,missing bolt nuts,4,-1
160,2025-01-04,Multi-purpose ladder,16ft,good product,5,1
161,2024-11-15,Multi-purpose ladder,16ft,good product,4,1
162,2024-05-21,Multi-purpose ladder,16ft,ladder convenient handle thought would still found adequate ladder,4,1
163,2024-11-16,Multi-purpose ladder,16ft,quality ladder good easy operate less heavy swisstek known aluminium ladders,5,1
164,2024-05-26,Multi-purpose ladder,16ft,goid quality product fast delivery ft perfect size home use others long short,5,1
165,2025-01-11,Multi-purpose ladder,16ft,talking two weeks later took mark thousand timesso still havent made installment planproduction doesnt problems,2,1
166,2024-10-05,Multi-purpose ladder,16ft,quality product im bit concern long locks joint last without failing lock fail climbing life danger hope safety measures prevent situation,5,1
167,2024-07-23,Multi-purpose ladder,16ft,item described good quality month seller warranty mentioned sitebut didnt received document thathow ever quality product pricei recommended,5,1
168,2024-11-10,Multi-purpose ladder,16ft,brand new excellent ladder worth price pretty solid shaky secure packaging fast delivery great job swisstek highly recommended thank,5,1
169,2024-07-11,Multi-purpose ladder,16ft,received ladder days back well packed quality product recommend heavy use well,5,1
170,2024-10-29,Multi-purpose ladder,16ft,good product working fine win,5,1
171,2024-05-24,Multi-purpose ladder,16ft,good quality product delivery quick well locking mechanism seems solid safe,5,1
172,2024-08-13,Multi-purpose ladder,16ft,nicely packeddeliverd earlier expectedgood producthighly recommended seller,5,1
173,2024-09-05,Multi-purpose ladder,16ft,win daraz best product,5,1
174,2025-01-04,Multi-purpose ladder,16ft,thanks,5,1
175,2024-11-09,Multi-purpose ladder,16ft,received good condition recommended best quality thanks daraz,5,1
176,2024-10-24,Multi-purpose ladder,16ft,good quality product feel better would wider another inches,5,1
177,2024-05-30,Multi-purpose ladder,16ft,unexpectedly received goods early quality product well packed,4,1
178,2024-07-06,Multi-purpose ladder,16ft,fast delivery ladder actually good quality also good,5,1
179,2024-07-29,Multi-purpose ladder,16ft,product quality excellent really useful daytoday work,5,1
180,2024-06-14,Multi-purpose ladder,16ft,good product get local hw low price,3,1
181,2025-01-12,Multi-purpose ladder,16ft,deliver delayed received via third party courier service,5,1
182,2024-09-16,Multi-purpose ladder,16ft,pleased product sturdy ladder,5,1
183,2024-06-26,Multi-purpose ladder,16ft,fast delivery good product highly recommend,5,1
184,2024-06-07,Multi-purpose ladder,16ft,good product become childrens toy,5,1
185,2024-08-26,Multi-purpose ladder,16ft,quick deliveryvery good productmicely packed,5,1
186,2024-06-26,Multi-purpose ladder,16ft,good item great valuable money,5,1
187,2024-07-27,Multi-purpose ladder,16ft,quality good days arrived,5,1
188,2024-05-11,Multi-purpose ladder,16ft,using bad useful household work,5,-1
189,2025-01-18,Multi-purpose ladder,16ft,good one received expected date,5,1
190,2024-06-29,Multi-purpose ladder,16ft,good one received expected date,5,1
191,2024-09-11,Multi-purpose ladder,16ft,good product delivery fast,5,1
192,2024-07-12,Multi-purpose ladder,16ft,quality product received time thanks,5,1
193,2024-06-01,Multi-purpose ladder,16ft,looks sturdy value money,5,1
194,2024-12-19,Multi-purpose ladder,16ft,superb quality packed safty,5,1
195,2024-07-17,Multi-purpose ladder,16ft,well packaged valueble money,5,1
196,2024-05-14,Multi-purpose ladder,16ft,good package keeo,5,1
197,2025-01-09,Multi-purpose ladder,16ft,excellent quickly product,5,1
198,2024-11-14,Multi-purpose ladder,16ft,good product fast delivery,5,1
199,2024-06-19,Multi-purpose ladder,16ft,fast delivery good seller,5,1
200,2024-10-31,Multi-purpose ladder,16ft,product quality great,5,1
201,2024-09-18,Multi-purpose ladder,16ft,good item per described,5,1
202,2024-04-26,Multi-purpose ladder,16ft,good qualityrecomenderd,5,1
203,2024-05-01,Multi-purpose ladder,16ft,thnx super product,5,1
204,2025-01-14,Multi-purpose ladder,16ft,good quality product,5,1
205,2024-10-06,Multi-purpose ladder,16ft,good solid product,5,1
206,2025-01-13,Multi-purpose ladder,16ft,excellent product,5,1
207,2025-01-22,Multi-purpose ladder,16ft,thanks much,5,1
208,2024-11-02,Multi-purpose ladder,16ft,good produc,5,1
209,2024-04-08,Multi-purpose ladder,16ft,great product,5,1
210,2024-11-11,Multi-purpose ladder,16ft,good product,5,1
211,2024-07-12,Multi-purpose ladder,16ft,good product,5,1
212,2024-05-07,Multi-purpose ladder,16ft,good,5,1
213,2024-08-02,Multi-purpose ladder,16ft,applied emi payment sampath credit card activated,1,1
214,2024-09-01,Multi-purpose ladder,16ft,good product,5,1
215,2024-08-03,Multi-purpose ladder,16ft,bad service,1,-1
216,2024-05-28,Multi-purpose ladder,16ft,sent blank warranty card without filling anything stamped mentioned date purchase anything im sure whether provie valid warranty online purchases daraz order number thats prove ladder brought,2,1
217,2024-07-24,Multi-purpose ladder,16ft,poor everything delivery communication terrible,1,-1
218,2024-10-29,Multi-purpose ladder,16ft,exellent damage,1,-1
219,2024-12-03,Multi-purpose ladder,16ft,good itam,5,1
220,2024-05-12,Multi-purpose ladder,16ft,best one,5,1
222,2024-09-20,Multi-purpose ladder,16ft,super,5,1
223,2025-01-06,Multi-purpose ladder,16ft,good,5,1
224,2025-01-30,Multi-purpose ladder,16ft,good,5,1
226,2025-01-30,Multi-purpose ladder,20ft,good product value money good job seller daraz,5,1
227,2025-01-01,Multi-purpose ladder,20ft,delivery service poor ordered th january received th february many times called daraz jetex satisfying delivery service,3,0
228,2024-09-18,Multi-purpose ladder,20ft,service easy suffer opsaving strong unbelieving,5,1
229,2024-12-13,Multi-purpose ladder,20ft,long time believed able use lot,5,0
230,2024-09-17,Multi-purpose ladder,20ft,great inningsfashion goodgood sellerthey respond quickly friendly service,5,1
231,2024-11-16,Multi-purpose ladder,20ft,packed wellit lot delay received,4,-1
232,2024-10-30,Multi-purpose ladder,20ft,locks levers show properly monitoring,4,0
233,2024-07-21,Multi-purpose ladder,20ft,product excellent quality arrived perfect condition satisfied purchase,5,1
234,2024-12-09,Multi-purpose ladder,20ft,arrived time good quality described well packed excellent delivery communication,5,1
235,2024-11-07,Multi-purpose ladder,20ft,fast delivery delivered within days packed well delivered carefully thank seller recommend others,5,1
236,2024-07-05,Multi-purpose ladder,20ft,discount price weight around kg low weight quality good aluminum received within days properly sealed delivered,5,1
237,2024-06-18,Multi-purpose ladder,20ft,great reasonable price superbly safely packed delivered received less days order thank much daraz deal ladder valuable price material remarkable excellent service keep good work,5,1
238,2024-05-24,Multi-purpose ladder,20ft,hiquality productdelivered within dayshighly recommended sellerthank,5,1
239,2024-09-21,Multi-purpose ladder,20ft,delivery within daysits good itemwell packedno issuerecommended others,5,1
240,2024-05-28,Multi-purpose ladder,20ft,good product value money original quality product,5,1
